Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1744.06062321558,1988.42930381554,2133.24127098647,2224.49074815215,2284.07584789349,2213.1814410479,2335.79586234454,2432.27670083336,2583.48533239877,2561.98176058622,2144.16657002819,2122.99581512663,2201.72290691677,..,..
Afghanistan,AFG,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.25,61.735,62.188,62.26,62.27,62.646,62.406,62.443,62.941,61.454,60.417,65.617,66.035,..,..
Afghanistan,AFG,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,146.844395694768,157.76176536666,184.226283879341,213.152665414967,231.533667789642,261.566866928026,294.796437277569,345.587947038119,383.16489590585,401.16333264641,461.176859296471,490.161282127766,329.823207832857,..,..
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,10273.4199783271,10608.8448172721,10882.026128835,11787.8549638025,12386.592266883,13055.8417473139,14110.683242211,15055.2807998752,16442.1259393239,16287.6097663649,18212.8702466686,22138.4182857345,24822.3543089995,26701.6749563776,..
Albania,ALB,Gini index,SI.POV.GINI,..,29,..,34.6,32.8,33.7,33.1,30.1,30.1,29.4,..,..,..,..,..
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.303,78.084,77.995,78.029,78.358,78.643,78.9,79.238,79.467,77.824,76.844,78.769,79.602,..,..
Albania,ALB,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,629.77370366982,646.010453356754,661.309852899519,720.823012750241,749.185049076799,806.720912809582,832.955874831663,891.451398571055,992.412571745731,1070.47456964305,1170.78955897245,1439.68526510585,1464.53502823031,..,..
Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14639.8779436268,14441.3293398806,14370.820661674,14694.143827383,13807.3515841478,13437.8460232169,13493.560749484,13727.1266357859,13892.5333446205,12676.5130564294,14496.8654697299,15836.0944370321,16824.4879034627,17620.7423956126,..
Algeria,DZA,Gini index,SI.POV.GINI,27.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.383,74.609,74.809,74.992,75.159,75.31,75.431,75.555,75.682,73.257,75.208,76.129,76.261,..,..
Algeria,DZA,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,706.472933497832,813.997841822965,811.292831343523,883.82941694657,874.606874516976,806.379397232708,802.658245120009,814.347049542644,752.603182302769,714.740771176575,728.016227108625,575.5849724144,732.004025956997,..,..
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.662,72.709,72.769,72.687,72.654,72.64,72.801,72.794,72.751,72.672,72.708,72.752,72.852,..,..
American Samoa,ASM,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,46436.1158596161,45503.0444832658,45609.2307224247,48505.6017361608,50733.2390011704,53110.1426263211,53084.8639640903,55244.6554088177,57475.0692842215,52095.8414004627,59332.2029100127,68470.0759483848,71730.668682165,74939.4746038578,..
Andorra,AND,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,84.296,84.334,84.406,84.485,84.532,84.489,84.359,84.242,84.098,79.418,82.331,84.016,84.041,..,..
Andorra,AND,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,3547.69074433574,3191.97877318405,3268.73090771796,3427.44009134019,3682.21309733743,3614.2044218708,3718.67391805742,4038.2356263127,4091.22994695037,4575.53290877348,5126.69555647297,5152.05321493757,5519.41470327922,..,..
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7537.59656403345,8246.36081151609,8504.09532072053,9017.69018162269,8067.48584683018,7766.83787525546,8006.83661497696,8278.36886170469,8572.87895610671,7827.42804325818,8862.28133314521,9588.24129511188,9753.60046763783,10118.6089945408,..
Angola,AGO,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,51.3,..,..,..,..,..,..,..
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.093,58.916,59.705,60.396,61.042,61.619,62.122,62.622,63.051,63.116,62.958,64.246,64.617,..,..
Angola,AGO,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,177.55705381199,176.206014756309,206.630116891521,194.493556492387,185.525451226411,185.680811061882,195.202071011548,190.30933929081,188.941339836073,220.489941082419,242.815077715831,259.077739299817,248.38769563917,..,..
Antigua and Barbuda,ATG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,23804.0790107696,23011.7386611366,21760.5232864254,21671.4737856616,20985.4388292177,21320.4375067809,21422.0021576627,24524.2137953887,26550.589844733,22370.0918693813,25745.4958067746,29933.8893698902,31601.7527146877,33386.1917127894,..
Antigua and Barbuda,ATG,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.023,77.1,77.05,76.912,76.892,76.968,77.03,77.132,77.168,77.161,77.197,77.483,77.598,..,..
Antigua and Barbuda,ATG,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,1145.02050022017,1108.67016766702,1068.55119627525,1153.54737101292,1030.25181508681,1053.20425383685,998.922178816419,1149.30998636471,1135.50146562144,1271.39386686741,1239.24492455213,1330.08726454653,1241.35033031918,..,..
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,19104.9909405228,19430.4178068112,19928.989490167,19487.4181748868,19899.1499275245,20105.761359796,23385.0740904917,24410.3919063335,23516.8261980886,22393.3479575353,26300.274261175,29808.8073468007,30221.4976888753,30431.1931223693,..
Argentina,ARG,Gini index,SI.POV.GINI,42.7,41.4,41.1,41.8,..,42.3,41.4,41.7,43.3,42.7,42.4,40.7,42.4,42.4,..
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.1,75.802,75.829,76.268,76.6,76.105,76.543,76.77,76.847,75.878,73.948,75.806,77.395,..,..
Argentina,ARG,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,1816.96540368103,1920.7333544569,1977.13773968998,1909.32462213848,2044.36740095168,2021.34394435431,2399.4439117441,2483.24297206173,2379.69410922038,2389.92172226818,2895.42396128468,3006.97925522648,3089.30758524707,..,..
Armenia,ARM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7624.26772626905,8942.63537897164,9454.87852836557,9736.2349746279,9756.84084836026,10570.2720413936,12066.0043093819,12877.4937543553,14975.7539538157,14706.3173043422,15921.705281964,19161.3700514189,21534.030536117,22823.1795255693,..
Armenia,ARM,Gini index,SI.POV.GINI,29.4,29.6,30.6,31.5,32.4,32.5,33.6,34.4,30,25.1,27.9,27.9,27.2,..,..
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.8170731707317,74.119512195122,74.6219512195122,74.8731707317073,74.8707317073171,74.8682926829268,75.2170731707317,75.619512195122,76.2219512195122,73.3756097560976,72.2780487804878,74.7658536585366,77.4658536585366,..,..
Armenia,ARM,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,740.428516428546,845.259885596716,1009.29482915641,1021.96694214014,1015.35194765081,1078.44064546615,1278.00393260604,1314.58826586654,1738.55875811611,1844.10278234491,2024.83372763285,1967.40198089754,2032.61543604151,..,..
Aruba,ABW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,35324.0720643325,34095.6471714416,35901.6459605583,35657.287197053,35972.8596619304,36117.5352619835,37524.9149203557,39287.0597126122,38543.9072936041,28854.5972997864,35104.7868035374,41758.8957566544,46574.3574197653,50649.3015232212,..
Aruba,ABW,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.578,74.841,75.072,75.261,75.405,75.54,75.62,75.88,76.019,75.406,73.655,76.226,76.353,..,..
Aruba,ABW,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,42152.816179831,43007.2697824131,46123.4750962848,47108.5906459966,46464.5867627929,47446.2103030951,48564.8286592372,50371.233830782,52885.8313816377,54184.1614486854,58327.4146842325,66103.1797066957,72272.7092136683,72111.1844628126,..
Australia,AUS,Gini index,SI.POV.GINI,..,..,..,34.4,..,33.7,..,34.3,..,33.8,..,..,..,..,..
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.8951219512195,82.0463414634146,82.1487804878049,82.3,82.4,82.4487804878049,82.5,82.7487804878049,82.9,83.2,83.3,83.2,83.0512195121951,..,..
Australia,AUS,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,3770.5007512509,3786.95632787945,4160.10514657905,4657.64439449205,4760.54357572354,5026.32603186604,5095.82682017981,5319.0923121222,5464.56914820707,6059.41888561149,6764.38828026716,7128.30827548489,7690.82499337234,..,..
Austria,AUT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,44171.5618687028,46156.4832073037,47519.8522796571,48355.4977624407,49549.3162311441,52397.8635176674,53869.8321183556,56636.4953030542,60354.9279422121,58523.0337816246,62968.9422311892,72065.4974270106,73544.6567230487,73911.439663136,..
Austria,AUT,Gini index,SI.POV.GINI,30.8,30.5,30.8,30.5,30.5,30.8,29.7,30.8,30.2,29.8,30.7,30.9,31.2,..,..
