Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,year,cost_rank
2,Switzerland,123.1,55.1,90.4,123.9,119.1,178.7,2016,2
3,Bahamas,107.5,38.2,74.2,107.1,88.4,59.0,2016,3
4,Norway,99.8,37.0,69.6,93.3,110.8,125.8,2016,4
5,Iceland,96.5,35.4,67.1,91.4,98.8,94.0,2016,5
6,Denmark,84.9,30.8,58.9,69.2,97.9,142.1,2016,6
7,Singapore,83.7,73.9,79.0,75.8,53.8,110.5,2016,7
8,Luxembourg,82.0,48.9,66.1,69.2,90.3,154.4,2016,8
9,Kuwait,81.6,38.3,60.8,96.1,46.0,113.6,2016,9
11,Japan,81.3,29.8,56.5,86.9,47.4,117.6,2016,11
12,United Kingdom,81.0,36.3,59.5,68.5,86.7,120.0,2016,12
13,Australia,78.5,41.0,60.4,74.7,74.8,147.3,2016,13
14,New Zealand,78.2,29.7,54.9,72.1,75.4,115.5,2016,14
15,Ireland,78.0,37.9,58.7,66.6,82.3,125.7,2016,15
16,Israel,75.7,26.8,52.2,65.7,77.3,115.5,2016,16
17,Sweden,75.7,25.2,51.4,67.9,79.2,128.2,2016,16
18,Belgium,75.4,31.4,54.3,67.2,82.9,106.7,2016,18
19,France,75.3,26.2,51.7,69.6,73.5,118.5,2016,19
20,Finland,75.2,27.0,52.1,66.6,76.8,132.9,2016,20
21,United States,74.1,38.4,56.9,75.7,69.1,139.2,2016,21
22,South Korea,73.2,34.4,54.5,86.2,41.2,120.6,2016,22
23,Netherlands,72.1,31.8,52.7,56.1,80.7,129.3,2016,23
24,Qatar,70.0,74.5,72.2,59.5,69.3,141.9,2016,24
25,Italy,68.8,21.5,46.0,58.6,75.3,105.7,2016,25
26,Puerto Rico,66.7,19.7,44.1,65.9,58.7,108.3,2016,26
27,Austria,66.6,26.2,47.2,61.7,62.6,120.5,2016,27
28,United Arab Emirates,66.1,68.3,67.1,57.2,59.8,136.4,2016,28
29,Germany,65.5,24.0,45.6,53.1,60.7,147.6,2016,29
30,Canada,64.8,26.8,46.6,65.0,60.0,134.8,2016,30
31,Argentina,64.1,18.1,42.0,52.5,64.2,74.9,2016,31
33,Ghana,63.4,53.3,58.6,59.3,51.9,18.4,2016,33
34,Lebanon,63.1,35.1,49.6,48.8,59.7,66.6,2016,34
35,Malta,61.4,20.2,41.6,51.9,66.6,82.8,2016,35
38,Costa Rica,57.8,16.1,37.8,56.9,46.5,67.6,2016,38
39,Cyprus,57.0,13.1,35.9,48.0,59.7,93.8,2016,39
40,Spain,56.1,18.9,38.2,46.0,57.0,105.3,2016,40
42,Jamaica,55.7,12.6,35.0,54.1,38.7,48.8,2016,42
43,Trinidad And Tobago,55.7,22.4,39.7,53.8,48.6,68.2,2016,42
44,Uruguay,55.6,15.8,36.5,48.1,52.8,50.6,2016,44
