rank,country,crime_index,safety_index,year,safety_tier,crime_yoy
6,Afghanistan,73.9,26.1,2017,Unsafe,
5,Afghanistan,76.6,23.4,2019,Very Unsafe,2.6999999999999886
4,Afghanistan,76.2,23.8,2020,Very Unsafe,-0.3999999999999915
4,Afghanistan,76.4,23.6,2021,Very Unsafe,0.20000000000000284
3,Afghanistan,77.0,23.0,2022,Very Unsafe,0.5999999999999943
3,Afghanistan,78.6,21.4,2023,Very Unsafe,1.5999999999999943
3,Afghanistan,78.3,21.7,2024,Very Unsafe,-0.29999999999999716
4,Afghanistan,75.1,24.9,2025,Very Unsafe,-3.200000000000003
48,Albania,48.2,51.8,2016,Moderate,
65,Albania,44.3,55.7,2017,Safe,-3.9000000000000057
68,Albania,39.9,60.1,2018,Safe,-4.399999999999999
71,Albania,40.3,59.7,2019,Safe,0.3999999999999986
81,Albania,39.5,60.5,2020,Safe,-0.7999999999999972
79,Albania,41.6,58.4,2021,Safe,2.1000000000000014
71,Albania,46.1,53.9,2022,Moderate,4.5
75,Albania,45.7,54.3,2023,Moderate,-0.3999999999999986
76,Albania,45.6,54.4,2024,Moderate,-0.10000000000000142
80,Albania,44.7,55.3,2025,Safe,-0.8999999999999986
24,Algeria,57.6,42.4,2016,Moderate,
49,Algeria,49.6,50.4,2017,Moderate,-8.0
33,Algeria,50.7,49.3,2018,Moderate,1.1000000000000014
43,Algeria,48.3,51.7,2019,Moderate,-2.4000000000000057
41,Algeria,49.8,50.2,2020,Moderate,1.5
42,Algeria,51.9,48.1,2021,Moderate,2.1000000000000014
42,Algeria,53.8,46.2,2022,Moderate,1.8999999999999986
49,Algeria,52.6,47.4,2023,Moderate,-1.1999999999999957
50,Algeria,52.2,47.8,2024,Moderate,-0.3999999999999986
48,Algeria,52.6,47.4,2025,Moderate,0.3999999999999986
146,Andorra,12.9,87.1,2024,Very Safe,
147,Andorra,15.3,84.7,2025,Very Safe,2.4000000000000004
16,Angola,65.5,34.5,2017,Unsafe,
15,Angola,65.0,35.0,2020,Unsafe,-0.5
12,Angola,66.6,33.4,2021,Unsafe,1.5999999999999943
14,Angola,66.4,33.6,2022,Unsafe,-0.19999999999998863
14,Angola,65.4,34.6,2023,Unsafe,-1.0
13,Angola,66.5,33.5,2024,Unsafe,1.0999999999999943
13,Angola,66.3,33.7,2025,Unsafe,-0.20000000000000284
17,Argentina,63.3,36.7,2016,Unsafe,
22,Argentina,62.6,37.4,2017,Unsafe,-0.6999999999999957
17,Argentina,61.8,38.2,2018,Unsafe,-0.8000000000000043
17,Argentina,62.6,37.4,2019,Unsafe,0.8000000000000043
21,Argentina,61.8,38.2,2020,Unsafe,-0.8000000000000043
18,Argentina,63.3,36.7,2021,Unsafe,1.5
16,Argentina,64.1,35.9,2022,Unsafe,0.7999999999999972
18,Argentina,64.3,35.7,2023,Unsafe,0.20000000000000284
18,Argentina,64.2,35.8,2024,Unsafe,-0.09999999999999432
20,Argentina,63.4,36.6,2025,Unsafe,-0.8000000000000043
