country,country_code,year,health_expenditure_ppp,gdp_per_capita_ppp,gini,life_expectancy,log_gdp_per_capita,income_group
Africa Eastern and Southern,AFE,2024,,4635.7882240455,,,8.441561522666785,Lower-middle income
Africa Western and Central,AFW,2024,,6815.99096115117,,,8.827026742386085,Lower-middle income
Albania,ALB,2024,,26701.6749563776,,,10.192481574869342,Upper-middle income
Algeria,DZA,2024,,17620.7423956126,,,9.776832032292276,Upper-middle income
Andorra,AND,2024,,74939.4746038578,,,11.224436061432494,High income
Angola,AGO,2024,,10118.6089945408,,,9.222131482261853,Lower-middle income
Antigua and Barbuda,ATG,2024,,33386.1917127894,,,10.415897671709677,Upper-middle income
Arab World,ARB,2024,,18870.3148110507,,,9.845345321373975,Upper-middle income
Argentina,ARG,2024,,30431.1931223693,42.4,,10.323223450875883,Upper-middle income
Armenia,ARM,2024,,22823.1795255693,,,10.035531944366426,Upper-middle income
Aruba,ABW,2024,,50649.3015232212,,,10.832680719319574,High income
Australia,AUS,2024,,72111.1844628126,,,11.185964435553363,High income
Austria,AUT,2024,8250.10666677903,73911.439663136,,,11.210622894186656,High income
Azerbaijan,AZE,2024,,25088.9993757134,,,10.130184757166754,Upper-middle income
"Bahamas, The",BHS,2024,,41197.9342548477,,,10.62614339463515,Upper-middle income
Bahrain,BHR,2024,,66941.2430367989,,,11.11157054401028,High income
Bangladesh,BGD,2024,,9646.76984383255,,,9.174378407088973,Lower-middle income
Barbados,BRB,2024,,24822.5343309908,,,10.119507161966146,Upper-middle income
Belarus,BLR,2024,,33010.3307605357,,,10.404575844807209,Upper-middle income
Belgium,BEL,2024,,73514.4831045258,,,11.205237714830483,High income
Belize,BLZ,2024,,14346.5188049737,,,9.571262599769677,Upper-middle income
Benin,BEN,2024,,4434.5642184028,,,8.397184630254733,Low income
Bermuda,BMU,2024,,124252.835702586,,,11.730073766254469,High income
Bolivia,BOL,2024,,12877.6351184372,,,9.463247373983195,Lower-middle income
Bosnia and Herzegovina,BIH,2024,,25043.0886396127,,,10.128353165834612,Upper-middle income
Botswana,BWA,2024,,20538.1320178889,,,9.930038535719317,Upper-middle income
Brazil,BRA,2024,,22338.4765640635,,,10.014065877104711,Upper-middle income
Brunei Darussalam,BRN,2024,,89879.3614980758,,,11.406223622336292,High income
Bulgaria,BGR,2024,,41969.4515718999,,,10.644697289096678,Upper-middle income
Burkina Faso,BFA,2024,,2895.89152033665,,,7.9710482943567325,Low income
Burundi,BDI,2024,,1194.94681370387,,,7.085856956014351,Low income
Cabo Verde,CPV,2024,,11195.1205312923,,,9.32323329550391,Lower-middle income
Cambodia,KHM,2024,,7966.87352428705,,,8.983047414306077,Lower-middle income
Cameroon,CMR,2024,,5588.98645861945,,,8.6285532364039,Lower-middle income
Canada,CAN,2024,7645.92699305836,64610.3795171971,,,11.076130350504888,High income
Caribbean small states,CSS,2024,,38624.0605441698,,,10.56163069142321,Upper-middle income
Central African Republic,CAF,2024,,1263.10234213699,,,7.141326150054982,Low income
Central Europe and the Baltics,CEB,2024,,50487.3304819118,,,10.82947770224111,High income
Chad,TCD,2024,,2742.65952183613,,,7.916683357034304,Low income
Chile,CHL,2024,3611.90416214736,36181.156616977,,,10.496293726845632,Upper-middle income
China,CHN,2024,,27104.8702677463,,,10.20746870539803,Upper-middle income
Colombia,COL,2024,1757.86920291765,22349.436440123,,,10.014556384516782,Upper-middle income
Comoros,COM,2024,,3958.53228789687,,,8.283628601177154,Low income
"Congo, Dem. Rep.",COD,2024,,1821.04868718058,,,7.507167815877926,Low income
"Congo, Rep.",COG,2024,,7026.36223281494,,,8.857424387547892,Lower-middle income
Costa Rica,CRI,2024,,31106.7643556729,45.8,,10.345180577914734,Upper-middle income
Cote d'Ivoire,CIV,2024,,7669.23195715687,,,8.94497175338346,Lower-middle income
Croatia,HRV,2024,,49550.7921506017,,,10.810753526524426,High income
Curacao,CUW,2024,,32693.2939764893,,,10.394925258682566,Upper-middle income
Cyprus,CYP,2024,,63006.61328125,,,11.050994972582673,High income
Czechia,CZE,2024,4674.02676171649,57285.4237001379,,,10.955801484654357,High income
Denmark,DNK,2024,7261.55360583993,81878.2349849181,,,11.31298848342318,High income
Djibouti,DJI,2024,,7810.27869066792,,,8.963195926021397,Lower-middle income
Dominica,DMA,2024,,21300.6848698089,,,9.966494504692758,Upper-middle income
Dominican Republic,DOM,2024,,27541.6625283384,39.0,,10.223455138228864,Upper-middle income
Early-demographic dividend,EAR,2024,,13995.4055576952,,,9.546484380286033,Lower-middle income
East Asia & Pacific,EAS,2024,,27285.2112349993,,,10.214100121389862,Upper-middle income
East Asia & Pacific (IDA & IBRD countries),TEA,2024,,23509.7241651154,,,10.065169408803245,Upper-middle income
East Asia & Pacific (excluding high income),EAP,2024,,23248.0251794368,,,10.053975468889174,Upper-middle income
Ecuador,ECU,2024,,15840.2668567412,45.2,,9.670310512242997,Upper-middle income
"Egypt, Arab Rep.",EGY,2024,,19094.1449444111,,,9.857137019626427,Upper-middle income
El Salvador,SLV,2024,,13264.027090968,,,9.492810919816296,Lower-middle income
Equatorial Guinea,GNQ,2024,,17566.7600284073,,,9.773763760557314,Upper-middle income
Estonia,EST,2024,3740.86106413705,49968.7108278373,,,10.819152305082845,High income
Eswatini,SWZ,2024,,11799.2028793201,,,9.375787255571986,Lower-middle income
